"","01m01_B","01m01_L","01m01_S","01m02_B","01m02_L","01m02_S","01m03_B","01m03_L","01m03_S","01m04_B","01m04_L","01m04_S","01m05_B","01m05_L","01m05_S","01m06_B","01m06_L","01m06_S","02m01_B","02m01_L","02m01_S","02m02_B","02m02_L","02m02_S","02m03_B","02m03_L","02m03_S","02m04_L","02m04_S","02m05_B","02m05_L","02m06_B","02m06_L","02m06_S","02m07_B","02m07_L","02m07_S","02m08_L","02m08_S","02m09_B","02m09_L","02m09_S","02m10_B","02m10_L","02m10_S","02m11_B","02m11_S","04m01_B","04m01_L","04m01_S","04m02_B","04m02_L","04m02_S","04m03_B","04m03_L","04m03_S","04m04_B","04m04_L","04m04_S","04m05_B","04m05_L","04m05_S","04m06_B","04m06_L","04m06_S","04m07_L","04m07_S","04m08_L","04m08_S","04m09_B","04m09_L","04m09_S","04m10_B","04m10_L","04m10_S","04m11_B","04m11_L","04m11_S","04m12_B","04m12_L","04m12_S","04m13_B","04m13_L","04m13_S","04t01_B","04t01_L","04t01_S","04t02_B","04t02_L","04t02_S","04w01_B","04w01_L","04w01_S","04w02_B","04w02_L","04w02_S","04w03_B","04w03_L","04w03_S","04w04_L","04w04_S","20m01_L","20m01_S","20m02_B","20m02_L","20m02_S","20m03_B","20m03_L","20m03_S","20m04_B","20m04_L","20m04_S","20m05_B","20m05_L","20m05_S","sfm01_B","sfm01_L","sfm01_S","sfm02_B","sfm02_L","sfm02_S","sfm03_B","sfm03_L","sfm03_S","sfm04_B","sfm04_L","sfm04_S","sfm05_B","sfm05_L","sfm05_S","sfm06_B","sfm06_L","sfm06_S","sfm07_B","sfm07_L","sfm07_S","Sft01_B","Sft01_L","Sft01_S","Sft02_B","Sft02_L","Sft02_S"
"p__Ascomycota",1722,12175,5168,5784,39914,1107,2877,25693,3162,3907,17439,4070,4739,26845,4569,1981,31354,6460,553,28599,1823,7657,15154,2884,26727,18097,5332,24171,3666,1609,41998,10682,16611,7081,6184,46970,16775,30111,1441,9176,21600,3579,15119,27438,14297,11455,9479,19646,23875,9503,8698,32015,6073,11856,4604,10655,4987,20884,877,3703,21514,3822,2127,33622,6367,22079,1953,10692,1698,867,15916,2276,23808,4139,4393,9601,24374,8679,5197,18609,9389,7295,40580,8880,7932,30174,3624,13006,27134,10191,14066,38116,11459,2282,25328,8687,6314,7816,11161,28765,1673,21726,7133,4575,12904,5868,7000,38725,7898,2409,38506,18935,510,24719,3325,10884,23371,4316,4161,30235,5501,3273,29903,1428,9261,32645,9919,4742,20327,2687,544,12706,8556,5100,21036,7384,16574,24915,8734,10215,30584,7177
"p__Ochrophyta",608,186,802,10924,9,665,1269,42,798,54,26,1210,2193,106,291,494,0,352,487,402,140,981,611,399,2973,245,1368,1601,756,1666,422,5500,2433,3811,3164,265,678,44,332,2081,837,768,1657,137,657,3184,5738,5576,511,4574,6488,768,3359,9418,146,243,7240,1882,171,4585,177,529,802,833,441,0,1137,6293,750,2286,1426,443,2389,261,1310,6560,662,1162,807,632,3309,613,32,3234,1349,238,513,7035,2154,65,385,0,8236,1843,906,2394,2810,3,3681,523,1427,0,138,1986,234,394,445,278,220,2002,703,700,930,264,312,6837,1878,1042,7755,249,752,2400,774,151,1797,597,4074,6629,2413,1916,562,1957,406,5795,686,126,9930,1474,845,11715,6230,3739
"p__Basidiomycota",443,2766,2516,898,3135,718,985,8232,5055,2166,3497,3180,741,5664,2107,676,2394,5609,432,4030,24722,1487,1392,17179,4581,6517,31075,1165,2723,843,1995,1785,3393,2909,957,12995,9425,12838,500,1311,2171,1279,1485,819,3371,1563,1482,3478,4414,3020,1806,897,6327,2124,766,3345,8176,1094,10152,454,4597,1885,713,2628,1791,2475,442,441,258,131,1761,455,3512,1231,12693,1560,1043,1204,523,541,6020,298,14823,2790,1008,2238,1480,1384,822,909,2430,5767,4302,149,6512,5773,1786,2239,2208,3095,879,13147,5512,1965,10130,4563,787,1644,3232,319,5780,3233,278,1505,1658,2157,3610,2314,1498,1187,14170,962,3233,0,1057,4138,2612,1449,2431,6247,266,2256,4894,1402,4253,3437,3008,4105,5138,1383,6291,1360
"p__Blastocladiomycota",0,31,279,20,0,285,91,1,376,0,0,1028,56,61,30,0,0,7,0,351,0,59,61,44,0,52,55,112,60,4,0,164,16,361,11,37,831,0,11,0,2,419,10,0,99,0,1001,437,127,1190,59,24,1994,0,0,475,22,5,0,3,0,45,0,0,20,0,183,3,0,0,30,0,0,0,704,8,5,699,0,3,387,130,0,90,85,861,93,18,26,8,6,0,514,0,401,3853,0,0,1233,0,0,0,13,0,0,2,0,9,10,0,12,140,0,18,71,53,12,114,7,0,134,0,0,0,0,5591,0,111,242,0,7,72,37,60,392,19,303,5,243,31,0,0
"p__Mortierellomycota",2,11,1352,243,7,350,173,29,1056,103,46,1825,240,56,957,0,17,2335,8,99,1054,1,84,754,66,119,1185,48,1157,12,10,201,47,903,52,37,458,1,181,72,29,164,0,0,1107,36,776,76,212,1085,40,23,3028,73,5,897,239,47,766,140,22,389,12,17,687,50,123,41,84,0,53,58,73,3,3665,123,4,904,53,36,1467,0,0,1338,40,49,681,140,60,186,14,0,849,0,86,4603,0,2,1430,73,434,692,2362,64,7,2603,18,49,2142,12,57,7700,22,24,318,147,172,589,164,33,4719,30,19,372,20,222,416,106,165,1035,0,152,1830,151,118,2886,193,78,1508,63,61,784
"p__Kickxellomycota",0,2,303,2,0,0,29,0,311,0,0,423,1,3,271,138,0,317,0,4,15,0,0,54,8,8,168,0,82,0,0,40,0,202,0,10,129,0,634,45,0,95,0,0,124,0,161,14,41,87,6,12,188,69,0,236,8,7,197,12,1,120,0,0,179,0,0,0,35,0,0,37,0,0,306,0,0,273,0,21,199,0,0,68,0,5,422,12,5,46,4,0,171,0,2,480,0,0,228,0,0,0,741,10,0,192,3,0,328,0,7,2045,0,0,723,19,0,183,9,0,195,0,0,0,0,0,33,6,4,206,0,4,249,5,0,124,43,0,263,4,0,200
"p__Rozellomycota",0,0,9,1,0,6,29,3,23,3,0,8,1,3,13,0,0,98,0,19,51,0,0,16,0,16,2,4,7,4,0,42,2,39,29,0,272,0,6,0,1,44,0,3,57,0,14,47,24,169,0,5,47,0,1,49,30,12,0,0,3,20,0,3,71,0,3,5,0,0,1,44,43,8,1043,0,0,8,0,0,24,0,0,34,0,0,7,7,8,2,0,0,18,0,2,70,0,0,43,0,0,38,142,0,5,38,3,1,47,6,20,637,0,10,53,22,16,27,12,0,81,0,0,0,23,31,21,9,3,3,0,5,34,15,9,21,10,19,54,18,68,60
"p__Bacillariophyta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,52,0,0,0,0,95,0,98,157,5,129,17,0,9,804,76,106,609,0,108,14,0,6,0,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,5,241,0,3,37,0,0,11,10,2,55,42,0,58,0,13,116,0,0,0,0,0,0,0,0
"p__Oomycota",0,0,0,0,16,0,0,0,0,0,66,45,0,10,6,0,2,0,0,25,0,0,11,0,0,6,0,32,0,0,3,411,88,274,10,116,0,0,0,0,936,21,0,1,3,0,0,75,4,18,22,26,42,0,0,39,0,5,0,0,1,37,0,3,0,5,0,45,0,0,53,6,32,133,13,0,13,2,0,0,19,0,0,11,3,2,3,6,955,7,0,1,3,0,42,31,0,0,14,0,32,0,0,0,698,5,4,3,0,0,8,98,0,248,0,25,26,0,0,0,2,0,21,0,0,11,0,2,649,26,0,1,0,10,4,2,23,71,22,39,47,0
"p__Aphelidiomycota",628,24,0,29,0,3,17,25,8,1,0,244,196,0,7,89,0,18,0,7,0,0,0,0,4,0,26,2,0,2,0,14,1,22,0,9,89,0,0,0,0,0,0,0,143,0,7,8,0,10,68,0,51,4,0,27,60,16,4,38,0,0,0,0,1,0,0,34,28,39,6,1,0,0,26,2,2,43,0,4,15,22,0,359,0,1,0,1,0,0,0,0,14,0,0,1,0,0,8,0,49,0,4,40,0,2,8,0,10,1,3,27,3,0,9,69,4,12,97,4,21,4,11,0,8,1,44,181,129,48,9,4,7,124,3,0,13,0,37,1,0,3
"p__Basidiobolomycota",0,0,11,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,9,0,0,0,0,0,4,4,0,0,0,0,0,1,11,0,0,19,0,0,0,0,0,0,0,39,0,19,0,0,0,0,0,0,0,0,37,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,29,0,0,0,0,0,14,0,0,4,0,0,5,0,0,41,0,0,6,0,4,14,0,0,0,7,0,0,0,0,0,0,0,0,25,0,2,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,3,2,0,15,69,0,50,0,0,0
"p__Mucoromycota",0,0,70,0,0,0,15,0,23,0,0,84,89,0,0,0,0,25,0,0,9,0,0,10,0,7,0,0,7,1,0,15,0,8,0,0,136,0,0,0,0,0,0,0,3,0,3,0,0,35,0,1,4,0,0,25,7,0,0,3,0,18,0,0,22,0,0,0,0,0,3,0,0,0,81,0,0,12,0,0,48,13,0,37,0,5,0,16,0,0,0,0,0,0,6,28,0,0,54,0,0,26,17,0,0,11,6,0,13,0,0,332,3,0,6,0,5,0,0,0,5,0,2,0,0,2,45,0,0,0,0,1,18,3,2,2,9,0,16,0,1,32
"p__Chytridiomycota",0,0,31,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,8,0,0,4,1,21,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,95,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,1,0,0
"p__Chlorophyta",1,0,0,13,0,0,30,0,0,0,3,0,22,0,0,10,0,0,0,0,0,4,0,0,0,0,0,8,0,20,0,26,0,0,14,0,0,0,0,0,0,0,0,0,0,99,0,8,5,0,5,0,0,45,0,0,7,2,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,38,0,0,75,73,0,35,0,0,0,0,0,9,0,0,9,0,0,2,3,2,0,78,0,0,40,0,0,3,0,0,9,5,0,19,0,0,0,0,0,5,0,0,0,0,0,11,0,0,7,0,0,9,12,1,4,13,0
"p__Dinophyta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,153,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,18,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,9,34,0,0,0,0
"p__Stramenopila_phy_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,62,0,0,30,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"p__Heterolobosa_phy_Incertae_sedis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,44,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,7,0,0,5,2,0,3,0,0,9,0,0,3,0,0,0,0,0,2,0,0,1,6,0,0,2,0,0,0,8,0,0,0,0,33,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"p__Glaucocystophyta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,138,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5
"p__Calcarisporiellomycota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p__Olpidiomycota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,12,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,3,0,0,0,0,1,12,14,0,0,0,0,0,0,0,42,5,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,0,0,0,0,0
"p__Apicomplexa",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,34,0,0,0,0,0,0,4,0,0,5,0
"p__Glomeromycota",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,149,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,19,35,0,0,0,0,0,0,0,0,15,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,62
"p__Neocallimastigomycota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p__Entorrhizomycota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p__Variosea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"p__Apusozoa_phy_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p__Haplosporidia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p__Hypochytriomycota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unclassified_Phylum",289,100,580,495,636,209,852,768,827,502,210,1239,608,591,829,385,953,1191,85,592,801,70,168,359,258,89,1704,235,400,731,554,572,248,808,864,434,1512,467,125,408,126,404,166,78,562,114,1352,211,162,1185,360,235,2934,417,50,1228,658,322,100,1995,389,657,537,182,610,185,821,233,348,228,225,150,494,12,846,614,53,452,90,33,859,5,1016,1017,108,102,1499,289,369,236,174,91,871,101,353,1396,342,14758,2475,188,84,293,832,577,339,224,208,186,1732,437,261,845,30,129,558,279,262,233,198,91,2144,71,132,0,360,922,366,366,308,2085,103,151,431,614,259,616,1489,786,2514,162,447,748
