siteid,Site,sticID,wet_dry,n_wet,n_total,prc_missing,prc_wet,tempC_mean,LeafSpecies1,LeafSpecies2,LeafSpecies3,Elm,Populus,Oak,Locust,Graminales,Elderberry,Rubrus,Forb,Shrub,Unknown,Sediment Texture Description,Percent Rocks,Percent Leaf Litter,Percent Sediment,meanN2Ar,meanO2Ar,meanO2
01M01,01m01,01M01_1,WET,10330,17866,0.683097717,0.578193216,10.51758144,Elm,Elm,Oak,1,0,1,0,0,0,0,0,0,0,Sandy,5,65,30,39.10763,17.40048,240.5808
01M02,01m02,01M02_1,WET,4072,47674,0.154371464,0.085413433,16.79887821,Populus,Oak,Oak,0,1,1,0,0,0,0,0,0,0,Sandy,80,5,15,39.06296,15.94281,222.7925
01M03,01m03,01M03_1,WET,2322,38271,0.321159338,0.060672572,16.02322855,Locust,Elm,Oak,1,0,1,1,0,0,0,0,0,0,Sandy coarse,30,1,50,38.89556,18.61564,260.6771
01M04,01m04,01M04_2,WET,11530,39571,0.298100289,0.291374997,14.93331606,Populus,Oak,Elm,1,1,1,0,0,0,0,0,0,0,FBOM find sand and clay,15,1,85,38.36237,18.35379,252.3483
01M05,01m05,01M05_1,WET,18449,21654,0.615907196,0.851990394,17.02008821,Elm,Elm,Oak,1,0,1,0,0,0,0,0,0,0,FBOM coarse sand,5,1,95,37.71366,20.69981,282.3224
01M06,01m06,01M06_1,WET,15095,55215,0.020611242,0.273385855,13.46973558,Elm,Elm,Elm,1,0,0,0,0,0,0,0,0,0,FBOM silt,20,2,78,39.19682,8.39173,118.2369
02M01,02m01,02M01_1,WET,48,12640,0.775795094,0.003797468,10.92487658,Oak,Oak,Oak,0,0,1,0,0,0,0,0,0,0,NA,50,5,45,37.41552,19.71356,278.0889
02M02,02m02,02M02_1,WET,3340,38271,0.321159338,0.087272347,15.41100468,Elm,Elm,Elm,1,0,0,0,0,0,0,0,0,0,NA,60,10,30,38.40148,19.55916,267.3011
02M03,02m03,02M03_1,WET,6768,38272,0.3211416,0.176839465,24.28569999,Populus,Elm,Elm,1,1,0,0,0,0,0,0,0,0,NA,85,2,13,38.93042,18.64726,240.276
02M04,02m04,02M04_1,WET,7010,29327,0.479805594,0.239028881,10.9284325,Populus,Populus,Populus,0,1,0,0,0,0,0,0,0,0,NA,60,10,30,40.40274,16.80822,216.856
02M05,02m05,02M05_1,WET,12792,17915,0.682228568,0.714038515,10.72256042,Elm,Elm,Elm,1,0,0,0,0,0,0,0,0,0,NA,85,5,10,40.38089,18.72584,249.3837
02M06,02m06,02M06_1,WET,14020,56003,0.006633911,0.250343732,14.45588754,Populus,Populus,Populus,0,1,0,0,0,0,0,0,0,0,NA,80,5,15,41.57071,19.56458,263.1396
02M07,02m07,02M07_1,WET,47737,55997,0.006740337,0.852492098,13.24096219,Elm,Populus,Populus,1,1,0,0,0,0,0,0,0,0,NA,85,5,10,40.42192,18.30064,262.7113
02M08,02m08,02M08_1,WET,2595,29454,0.477552903,0.088103483,18.62019149,Populus,Oak,Oak,0,1,1,0,0,0,0,0,0,0,NA,85,5,10,41.24604,16.58007,236.0363
02M09,02m09,02M09_1,WET,15063,55998,0.0067226,0.26899175,13.91128308,Oak,Oak,Oak,0,0,1,0,0,0,0,0,0,0,NA,80,5,15,43.07667,14.04411,199.934
02M10,02m10,02M10_1,WET,2280,26908,0.522713163,0.084733165,12.22170544,Oak,Populus,Populus,0,1,1,0,0,0,0,0,0,0,NA,75,5,20,41.40282,16.47837,230.7487
02M11,02m11,02M11_1,WET,37946,51570,0.085265268,0.735815397,15.68002501,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,92,0,8,38.29022,19.13997,260.5252
04M01,04m01,04M01_1,WET,25237,44757,0.206112422,0.563867105,14.82271488,Elm,Oak,Populus,1,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,37.5746,18.9892,263.2088
04M02,04m02,04M02_1,WET,25821,44762,0.206023733,0.5768509,14.72089853,Oak,Oak,Populus,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,38.23949,20.46071,266.7046
04M03,04m03,04M03_1,WET,2928,11199,0.801355163,0.261451915,22.92420305,Oak,Elm,Elm,1,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,38.66996,21.09099,268.673
04M04,04m04,04M04_1,WET,21755,35170,0.376164039,0.61856696,15.08753142,Oak,Elm,Elm,1,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,38.53184,19.75233,263.054
04M05,04m05,04M05_1,WET,50429,56184,0.003423382,0.897568703,13.38573544,Elm,Oak,Populus,1,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,38.60799,17.75354,248.6051
04M06,04m06,04M06_1,WET,5531,38284,0.320928748,0.144472887,14.35492242,Elm,Populus,Populus,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,38.40265,17.47147,256.1535
04M07,04m07,04M07_1,WET,14069,56194,0.003246005,0.250364808,13.72681105,Elm,Elm,Populus,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,38.40001,19.28324,279.1496
04M08,04m08,04M08_1,WET,54429,56153,0.003973252,0.969298168,13.39451053,Sedge,Sedge,Forbs,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,40.41111,10.87778,233.8889
04M09,04m09,04M09_1,WET,13835,56154,0.003955514,0.246376037,14.56688873,Populus,Elm,Unknown,1,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,37.6797,20.82387,447.822
04M10,04m10,04M10_1,WET,12190,56175,0.003583021,0.217000445,13.96868678,Elm,Populus,Populus,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,36.76538,17.60528,378.5998
04M11,04m11,04M11_1,WET,4272,56174,0.003600759,0.076049418,14.44124951,Grass,Grass,Shrub,0,0,0,0,1,0,0,0,1,0,Very silty and gravel,15,20,65,38.24263,21.43392,290.3476
04M12,04m12,04M12_1,WET,10643,40546,0.280806002,0.262491984,13.88961895,Grass,Grass,Elm,1,0,0,0,1,0,0,0,0,0,Sily clay gravel,40,1,30,39.1988,15.23207,216.4251
04M13,04m13,04M13_1,DRY,4719,51568,0.085300743,0.091510239,17.22484603,Elm,Forb,Grass,1,0,0,0,1,0,0,1,0,0,Silty clay loam,50,4,35,,,
04T01,04t01,04T01_1,DRY,2611,44751,0.206218848,0.058345065,16.84455476,Elm,Elm,Grass,1,0,0,0,1,0,0,0,0,0,Silty clay,60,1,40,,,
04T02,04t02,04T02_1,WET,7052,19708,0.650424819,0.357824234,13.64136087,Grass,Grass,Elm,1,0,0,0,1,0,0,0,0,0,Sandy silt and OM,40,20,40,36.4133,20.44076,266.4446
04W01,04w01,04W01_1,DRY,1484,38281,0.320981961,0.038765967,16.93138084,Populus,Populus,Oak,0,1,1,0,0,0,0,0,0,0,Sandy silty loam,90,1,10,,,
04W02,04w02,04W02_1,WET,310,11571,0.794756727,0.026791116,10.43837438,Elm,Elm,Populus,1,1,0,0,0,0,0,0,0,0,Silty clay loam,60,1,40,39.47468,13.0272,182.796
04W03,04w03,04W03_1,WET,2048,18654,0.669120386,0.109788785,13.10413263,Elderberry,none,none,0,0,0,0,0,1,0,0,0,0,Sandy,80,1,20,38.60776,17.65517,242.7429
04W04,04w04,04W04_1,WET,20950,43802,0.223051954,0.478288663,11.23369641,Elm,none,none,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,40.62702,8.231568,121.9809
20M01,20m01,20M01_1,DRY,2331,43682,0.225180481,0.053362941,17.58322124,Oak,Oak,Oak,0,0,1,0,0,0,0,0,0,0,Clay and sand,NA,NA,NA,,,
20M02,20m02,20M02_1,WET,4417,42685,0.242864998,0.103478974,14.85839405,Populus,Populus,Populus,0,1,0,0,0,0,0,0,0,0,Sandy clay,NA,NA,NA,,,
20M03,20m03,20M03_1,DRY,0,2013,0.96429395,0,20.30787879,Elm,Elm,Elm,1,0,0,0,0,0,0,0,0,0,Sandy gravel clay,96,3,1,,,
20M04,20m04,20M04_1,WET,5125,35991,0.361601362,0.14239671,19.1380384,Elm,Elm,Elm,1,0,0,0,0,0,0,0,0,0,NA,70,15,15,37.82488,18.27293,257.9912
20M05,20m05,20M05_1,WET,8275,35274,0.374319315,0.234592051,14.70540483,Rubrus,Populus,Elm,1,1,0,0,0,0,1,0,0,0,NA,92,1,7,37.49003,20.5453,284.1714
SFM01,sfm01,SFM01_1,WET,8806,36580,0.351153839,0.240732641,14.38459541,Elm,Oak,Oak,1,0,1,0,0,0,0,0,0,0,Gravel fine,NA,NA,NA,37.84584,17.72524,248.7184
SFM02,sfm02,SFM02_1,WET,3133,22614,0.598878975,0.138542496,16.54491598,Elm,Populus,Oak,1,1,1,0,0,0,0,0,0,0,NA,93,2,5,37.37885,19.13527,257.8768
SFM03,sfm03,SFM03_1,WET,8145,46147,0.181456977,0.176501181,11.20251826,Oak,Oak,Populus,0,1,1,0,0,0,0,0,0,0,NA,75,10,15,39.56851,17.27026,236.4955
SFM04,sfm04,SFM04_1,WET,14848,56095,0.00500204,0.264693823,13.11565772,Oak,Oak,Elm,1,0,1,0,0,0,0,0,0,0,NA,80,1,19,41.10526,16.29677,229.6165
SFM05,sfm05,SFM05_1,WET,9553,36564,0.351437643,0.261267914,14.94888141,Elm,Elm,Oak,1,0,1,0,0,0,0,0,0,0,Silt and gravel,85,1,15,39.02887,18.86044,267.3889
SFM06,sfm06,SFM06_1,WET,7661,31855,0.434964613,0.240495997,12.0686065,Oak,Oak,Populus,0,1,1,0,0,0,0,0,0,0,More sandy,90,1,9,38.29906,18.48537,255.1875
SFM07,sfm07,SFM07_1,WET,9928,54472,0.033790376,0.182258775,14.06835493,Elm,Oak,Oak,1,0,1,0,0,0,0,0,0,0,Sandy,94,5,1,40.03592,20.5603,269.5654
SFT01,Sft01,SFT01_1,WET,5492,9953,0.823456374,0.551793429,21.42031347,Elm,Elm,Oak,1,0,1,0,0,0,0,0,0,0,Silt and sand,30,40,30,39.00162,16.34799,223.8743
SFT02,Sft02,SFT02_1,WET,11834,39150,0.305567873,0.302273308,16.77315249,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,38.93783,17.1214,237.3192